# FRS gate for Z vs Z2 OS SETTING
#     Z                   Z2
# Gate 0 78 Pt Os-Setting
77.4421 77.1799 
77.3235 77.605 
77.5746 78.1247 
78.1676 78.2664 
78.2513 77.8885 
77.9304 77.4161 
77.5746 77.1799 
77.4421 77.1799 
# Gate 1 77 Ir Os-Setting
76.4585 76.3059 
76.3399 76.7311 
76.5561 77.2271 
77.184 77.3925 
77.4002 77.2744 
77.163 76.5894 
76.591 76.3059 
76.4585 76.3059 
# Gate 2 76 Os Os-Setting
75.6632 75.5973 
75.6144 75.928 
75.7469 76.424 
76.2562 76.4949 
76.4306 76.3768 
76.3538 75.7863 
75.7818 75.5028 
75.6632 75.5973 
# Gate 3 75 Re Os-Setting
74.6657 74.558 
74.6169 74.8887 
74.7494 75.3847 
75.2586 75.4556 
75.433 75.3375 
75.3563 74.747 
74.7843 74.4635 
74.6657 74.558 
# Gate 4 ALL Os-Setting
62.4788 88.8487
62.4124 63.273
87.2266 64.0954
87.3593 88.273
71.5021 88.3553
67.4549 88.3553
62.8105 88.602
62.4788 88.8487
