# FRS gate for Z vs Z2 
# Z                   Z2
# Gate 2 76 Os Os-Setting
75.6632 75.5973 
75.6144 75.928 
75.7469 76.424 
76.2562 76.4949 
76.4306 76.3768 
76.3538 75.7863 
75.7818 75.5028 
75.6632 75.5973 
# Gate 2 76 Os Os-Setting
75.6632 75.5973 
75.6144 75.928 
75.7469 76.424 
76.2562 76.4949 
76.4306 76.3768 
76.3538 75.7863 
75.7818 75.5028 
75.6632 75.5973 
# Gate 2 76 Os Os-Setting
75.6632 75.5973 
75.6144 75.928 
75.7469 76.424 
76.2562 76.4949 
76.4306 76.3768 
76.3538 75.7863 
75.7818 75.5028 
75.6632 75.5973 
# Gate 2 76 Os Os-Setting
75.6632 75.5973 
75.6144 75.928 
75.7469 76.424 
76.2562 76.4949 
76.4306 76.3768 
76.3538 75.7863 
75.7818 75.5028 
75.6632 75.5973 
# Gate 2 76 Os Os-Setting
75.6632 75.5973 
75.6144 75.928 
75.7469 76.424 
76.2562 76.4949 
76.4306 76.3768 
76.3538 75.7863 
75.7818 75.5028 
75.6632 75.5973 
# Gate 2 76 Os Os-Setting
75.6632 75.5973 
75.6144 75.928 
75.7469 76.424 
76.2562 76.4949 
76.4306 76.3768 
76.3538 75.7863 
75.7818 75.5028 
75.6632 75.5973 
# Gate 2 76 Os Os-Setting
75.6632 75.5973 
75.6144 75.928 
75.7469 76.424 
76.2562 76.4949 
76.4306 76.3768 
76.3538 75.7863 
75.7818 75.5028 
75.6632 75.5973 
# Gate 2 76 Os Os-Setting
75.6632 75.5973 
75.6144 75.928 
75.7469 76.424 
76.2562 76.4949 
76.4306 76.3768 
76.3538 75.7863 
75.7818 75.5028 
75.6632 75.5973 
