#X4 vs AoQ gate
# Os-198 merge_os_charge1.root
2.59794 -43.8113
2.59236 -27.8799
2.59034 -12.8676
2.59616 -1.22549
2.60383 -4.28922
2.60771 -30.0245
2.60189 -41.973
2.59794 -43.8113
# Os-199 merge_os_charge1.root
2.61191 -33.3946
2.60633 -17.4632
2.60432 -2.45098
2.61013 9.19118
2.6178 6.12745
2.62168 -19.6078
2.61587 -31.5564
2.61191 -33.3946
# Os-200 merge_os_charge2.root
2.62581 -21.7525
2.62252 -12.8676
2.62082 13.7868
2.62591 26.0417
2.63318 18.6887
2.63437 -14.0931
2.63009 -21.7525
2.62581 -21.7525
# Os-201 merge_os_charge2.root
2.63826 -6.7402
2.63497 2.14461
2.63428 27.8799
2.63976 36.7647
2.64434 28.4926
2.64543 2.45098
2.64255 -6.7402
2.63826 -6.7402
# Os-202 merge_os_charge1.root
2.65124 5.51471
2.64858 12.2549
2.64766 37.3775
2.65216 54.2279
2.65863 49.6324
2.65898 14.7059
2.65471 4.28922
2.65124 5.51471
# Os-203 merge_os_charge1.root
2.66498 18.3824
2.66233 25.1225
2.6614 50.2451
2.66591 67.0956
2.67237 62.5
2.67272 27.5735
2.66845 17.1569
2.66498 18.3824
# Re 199 merge_os_charge3.root
2.64862 -43.5049
2.64613 -36.7647
2.64314 -12.2549
2.64882 -0.306373
2.65361 -6.7402
2.65709 -34.6201
2.65241 -42.5858
2.64862 -43.5049
# Re 200 merge_os_charge3.root
2.66247 -34.6201
2.65849 -25.4289
2.65699 -3.3701
2.66267 8.57843
2.66875 -0.306373
2.67094 -25.7353
2.66626 -33.701
2.66247 -34.6201
