#X4 vs AoQ gate
# Pt-204 merge_os_charge1.root
2.60787 54.8407
2.6023 70.7721
2.60028 85.7843
2.60609 97.4265
2.61377 94.3627
2.61764 68.6275
2.61183 56.6789
2.60787 54.8407
# Ir-201 merge_os_charge1.root
2.601 6.12745
2.59543 22.0588
2.59341 37.0711
2.59923 48.7132
2.6069 45.6495
2.61078 19.9142
2.60496 7.96569
2.601 6.12745
# Ir-202 merge_os_charge1.root
2.61635 18.3824
2.61078 34.3137
2.60876 49.326
2.61457 60.9681
2.62225 57.9044
2.62612 32.1691
2.62031 20.2206
2.61635 18.3824
# Ir-203 merge_os_charge1.root
2.63145 31.5564
2.62588 47.4877
2.62386 62.5
2.62968 74.1422
2.63735 71.0784
2.64123 45.3431
2.63541 33.3946
2.63145 31.5564
# Os-198 merge_os_charge1.root
2.59794 -43.8113
2.59236 -27.8799
2.59034 -12.8676
2.59616 -1.22549
2.60383 -4.28922
2.60771 -30.0245
2.60189 -41.973
2.59794 -43.8113
# Os-199 merge_os_charge1.root
2.61191 -33.3946
2.60633 -17.4632
2.60432 -2.45098
2.61013 9.19118
2.6178 6.12745
2.62168 -19.6078
2.61587 -31.5564
2.61191 -33.3946
# Os-202 merge_os_charge1.root
2.65124 5.51471
2.64858 12.2549
2.64766 37.3775
2.65216 54.2279
2.65863 49.6324
2.65898 14.7059
2.65471 4.28922
2.65124 5.51471
# Os-203 merge_os_charge1.root
2.66498 18.3824
2.66233 25.1225
2.6614 50.2451
2.66591 67.0956
2.67237 62.5
2.67272 27.5735
2.66845 17.1569
2.66498 18.3824
# Pt-205? merge_os_charge2.root
2.62491 69.8529
2.61993 78.4314
2.61853 93.4436
2.62471 96.5074
2.63308 94.3627
2.63298 79.9632
2.62531 69.8529
2.62491 69.8529
# Pt-duplicate? merge_os_charge2.root
2.6553 56.0662
2.65201 64.951
2.64912 96.5074
2.6553 99.5711
2.66267 96.5074
2.66496 78.4314
2.65958 56.0662
2.6553 56.0662
# Os-200 merge_os_charge2.root
2.62581 -21.7525
2.62252 -12.8676
2.62082 13.7868
2.62591 26.0417
2.63318 18.6887
2.63437 -14.0931
2.63009 -21.7525
2.62581 -21.7525
# Os-201 merge_os_charge2.root
2.63826 -6.7402
2.63497 2.14461
2.63428 27.8799
2.63976 36.7647
2.64434 28.4926
2.64543 2.45098
2.64255 -6.7402
2.63826 -6.7402
# Re 195 merge_os_charge2.root
2.58814 -97.7328
2.58486 -88.848
2.58705 -56.3725
2.59482 -49.0196
2.5993 -58.8235
2.5987 -87.9289
2.59213 -97.4265
2.58814 -97.7328
# Re 196 merge_os_charge2.root
2.60438 -85.7843
2.6011 -76.8995
2.60209 -47.7941
2.61106 -37.0711
2.61554 -46.875
2.61495 -75.9804
2.60837 -85.4779
2.60438 -85.7843
# Re 197 merge_os_charge2.root
2.61963 -71.3848
2.61634 -62.5
2.61873 -34.3137
2.62561 -26.0417
2.63049 -34.0074
2.63019 -61.5809
2.62361 -71.0784
2.61963 -71.3848
# Re 198 merge_os_charge2.root
2.63597 -58.2108
2.63218 -50.2451
2.63168 -25.7353
2.63617 -15.0123
2.64264 -21.7525
2.64444 -49.326
2.63976 -57.2917
2.63597 -58.2108
# Re 199 merge_os_charge3.root
2.64862 -43.5049
2.64613 -36.7647
2.64314 -12.2549
2.64882 -0.306373
2.65361 -6.7402
2.65709 -34.6201
2.65241 -42.5858
2.64862 -43.5049
# Re 200 merge_os_charge3.root
2.66247 -34.6201
2.65849 -25.4289
2.65699 -3.3701
2.66267 8.57843
2.66875 -0.306373
2.67094 -25.7353
2.66626 -33.701
2.66247 -34.6201
# Re 201 merge_os_charge3.root
2.67523 -21.1397
2.67124 -11.9485
2.66975 10.1103
2.67543 22.0588
2.6815 13.174
2.6837 -12.2549
2.67901 -20.2206
2.67523 -21.1397
# W 1 merge_os_charge3.root
2.59601 -131.127
2.58964 -123.468
2.59034 -99.8775
2.5999 -87.6226
2.60229 -96.8137
2.60269 -115.502
2.5998 -130.208
2.59601 -131.127
# W 2 merge_os_charge3.root
2.61196 -119.792
2.60558 -112.132
2.60628 -88.5417
2.61584 -76.2868
2.61823 -85.4779
2.61863 -104.167
2.61574 -118.873
2.61196 -119.792
# W 3 merge_os_charge3.root
2.6285 -106.311
2.62212 -98.652
2.62282 -75.0613
2.62939 -64.3382
2.63477 -71.9976
2.63517 -90.6863
2.63228 -105.392
2.6285 -106.311
# W 4 merge_os_charge3.root
2.64225 -94.9755
2.63587 -87.3162
2.63657 -63.7255
2.64314 -53.0025
2.64852 -60.6618
2.64892 -79.3505
2.64603 -94.0564
2.64225 -94.9755
# W 5 merge_os_charge3.root
2.6547 -82.4142
2.64972 -73.223
2.64932 -48.1005
2.6542 -40.7475
2.66098 -48.1005
2.66138 -66.7892
2.65849 -81.4951
2.6547 -82.4142
# W 6
2.66915 -71.3848
2.66417 -62.1936
2.66367 -40.1348
2.66935 -28.1863
2.67543 -37.0711
2.67582 -55.7598
2.67293 -70.4657
2.66915 -71.3848
# Ta 1
2.64264 -133.578
2.63627 -125.919
2.63697 -102.328
2.64653 -90.0735
2.65091 -96.8137
2.64932 -117.953
2.64643 -132.659
2.64264 -133.578
# Ta 2
2.65739 -123.775
2.65101 -116.115
2.65171 -92.5245
2.66128 -80.2696
2.66566 -87.0098
2.66407 -108.15
2.66118 -122.855
2.65739 -123.775
# Ta 3
2.67214 -111.52
2.66576 -103.86
2.66835 -74.1422
2.67602 -69.2402
2.68041 -74.7549
2.67881 -95.8946
2.67592 -110.6
2.67214 -111.52
